№,q1.1.                   первое прилагательное,q1.2.                 второе прилагательное,q1.3. третье прилагательное,"q2. факультет, на который подали заявление",q3. оценка вероятности поступления,q4. источник информации о факультете,q4.7. источник информации о факультете (другое),q6. альтернативные места поступления,"q7. наличие родственников, окончивших факультет","q7.1 родственникb, окончившие факультет",q8. работает ли он по специальности (кодируется только если в q7. ответ 1),q9. планирование работать по специальности,q10.1. фактор,q10.2. фактор,q10.3. фактор,q10.7 другое,q11.1.1 вуз,q11.1.2 факультет,q12.1.,q12.2.,q12.3.,q12.7 другое,q13. подготовка перед поступлением,q13.4 курсы в вузе,q13.6. подготовка перед поступлением (другое),q14.1. математика,q14.2. русский язык,q14.3. обществознание,q14.4. иностранный язык,q14.5. история,q15.1.,q15.2.,q15.3.,q15.4.,q15.5.,q15.6.,q15.7.,q15.8.,q15.9.,q15.10.,q16. вероятность поступления на другие факультеты,q17.1. название компании (организации),q17.2. направление (профиль деятельности),q17.3. функциональные обязанности,q18. возможность договорного обучения,q19. образовательный кредит,q20. возраст респондента,q21. пол респондента,q22. место жительства респондента,q22.2 ,q22.3,q23.1. образование (отец),q23.2. образование (мать),q23.8.1 образование (отец),q23.8.2 образование (мать),q23.8. образование родителей (другое),q24. материальное положение семьи,q25. количество иностранных языков,q25.1 иностранный язык,q25.2 иностранный язык,q25.3 иностранный язык,q26. социальный слой семьи
75,,,,Социологический факультет,5,2,  -,не буду подавать,1,"Евгения Чарнолис, Анастасия Серебренникова",1,1,2,4,5, -,МГУП,юридический,2,4,5, -,5, -, -,72,92,88,55,66,3,2,3,5,5,2,2,1,3,5,5,некая иностранная юридическая фирма,З.О.,генеральный директор,3,3,18,1,2,Иркутск,-,4,4,-,-,-,5,1,английский,-,-,3
76,престижный, популярный, значимый,Факультет государственного управления,4,6,  -,экономический,1,друзья,1,1,1,2,4, -,РЭУ им. Плеханова,менеджемент,2,4,5, -,1, -, -,81,87,63,82,55,1,4,3,1,1,1,2,1,1,4,8,Сбербанк,управление,управление персонала,2,2,17,1,1,-,-,4,4,-,-,-,6,2,английский,испанский,-,2
77,Классный, интересный, сложный,Юридический факультет,3,3,  -,экономический,2,  -,  -,2,1,4,5, -,ГУУ, -,1,3,5, -,1, -, -,79,84,85,78,64,3,1,4,1,3,2,4,2,1,3,3,З.О.,З.О.,З.О.,2,2,18,2,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
78,Перспективный, престижный, качественный,Юридический факультет,8,3,  -,политология,2,  -,  -,2,1,4,  -,я сам + учителя,МГУКИ,реклама,1,2,6, -,1, -, -,40,79,85,93,64,2,3,2,2,2,1,3,1,4,3,7,З.О.,реклама,"PR, реклама, копирайт",2,2,18,1,1,-,-,4,4,-,-,-,4,0,-,-,-,3
79,,,,Юридический факультет,2,3,  -,экономика,2,  -,  -,2,1,2,3, -,нет других, -,2,4,6, -,1, -, -,52,87,66,89,63,3,1,2,1,2,2,3,2,3,5,7,"ОАО ""Давай до свидания""",З.О.,генеральный дирекйтор,1,3,17,1,1,-,-,4,4,-,-,-,7,1,английский,-,-,7
80,прогрессивный, крутой, атмосферный,Экономический факультет,7,3,  -,психологический,2,  -,  -,2,1,4,6, -,МГЛУ,социологический,2,4,6, -,3, -, -,63,87,68,85,58,2,4,1,2,2,3,3,1,2,2,5,З.О.,З.О.,З.О.,1,2,18,1,1,-,-,4,4,-,-,-,6,1,английский,-,-,3
81,Юридический, прекрасный, хороший,Юридический факультет,6,2,  -,никакие,2,  -,  -,2,2,  -,  -, -,Финансовый университет,учет и аудит,1,2,3, -, -,Финансовый университет, -,81,98,88,93,59,3,2,3,1,1,3,4,1,2,3,9,без понятия,З.О.,не знаю,2,2,17,1,2,Венев,-,4,4,-,-,-,5,2,английский,немецкий,-,3
82,интересный, большой потенциал, великолепный специалист,Философский факультет,4,3,  -,"ФГУ, политология, социологический",2,  -,  -,2,1,4,  -, -,НИУ-ВШЭ,"ГМУ, политология",2, -, -, -,1, -, -,66,95,72,64,51,4,4,4,4,2,1,3,2,1,1,10,собственное рекламное агенство,,креативный директор,2,2,18,2,1,-,-,4,4,-,-,-,4,2,английский,французский,-,2
83,серьезный,образовательный,,Факультет государственного управления,7,2,  -,социологический,2,  -,  -,2,1,  -,  -, -,МГУ,"социологиеский, юридический",1,2,6, -,1, -, -,60,87,72,59,75,4,1,4,2,2,1,4,2,1,1,9,государственная структура,юрист,З.О.,2,2,17,2,1,-,-,4,4,-,-,-,4,1,английский,-,-,3
84,восхитительный, прекрасный, мафусаиловский,Факультет психологии,7,3,  -, -,2,  -,  -,2,  -,  -,  -,все были против, -, -,2, -, -, -,1, -, -,77,100,93,53,93,2,3,2,2,1,2,3,4,1,4,4,З.О.,,,1,2,17,2,1,-,-,4,4,-,-,-,7,2,английский,французский,-,3
85,перспективный,,,Экономический факультет,8,6,  -,"ИСАА, исторический",2,  -,  -,4,1,2,5, -,МГУ,"ИСАА, исторический",1,2,6, -, -,ИСАА, -,48,79,66,55,65,5,1,1,2,2,1,1,1,1,3,3,З.О.,,,2,2,17,2,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
86,интересный, захватывающий, желанный,Филологический факультет,9,1,  -,только этот,2,  -,  -,2,2,3,5, -,РАНГХиС,"исторический, юридический, регионоведение",1,2,6, -, -,РГГУ, -,64,82,67,77,75,3,2,3,3,2,1,4,1,4,3,7,З.О.,,,1,2,16,1,1,-,-,2,4,-,-,-,4,2,английский,немецкий,-,4
87,Интересный, серьёзный, монументальный,Исторический факультет,7,2,  -, -,2,  -,  -,1,6,  -,  -, -,МГУ,юридический,1,2,3, -,1,СПБГУ, -,100,98,72,64,93,4,2,1,3,1,1,2,5,1,1,8,З.О.,З.О.,З.О.,1,2,17,1,2,СПБ,-,4,4,-,-,-,6,1,испанский,-,-,1
88,Престижный, красивый, семиэтажный,Экономический факультет,8,3,  -,гос.управление,2,  -,  -,2,1,  -,  -, -,МИСиС,экономика,1,2,6, -,1, -, -,66,95,67,37,44,2,1,3,1,1,3,3,1,2,4,6,З.О.,,,2,2,18,2,2,-,-,4,4,-,-,-,5,1,английский,-,-,2
89,Интересный, занимательный, серьезный,Юридический факультет,6,3,  -,исторический,2,  -,  -,2,  -,  -,  -,личный интерес,МЭСИ,"юридический,лингвистический",5, -, -, -,1.5, -, -,40,70,75,58,75,4,1,4,2,2,2,3,2,4,3,6,"ИБ ""Практическая медицина""",полиграфия,исполнительный директор,2,2,17,1,1,-,-,4,4,-,-,-,4,2,английский,немецкий,-,3
90,Престижный ,Известный,Красивый,Факультет государственного управления,7,1,  -,экономический,2,  -,  -,4,3,  -,  -, -,НИУ-ВШЭ,ГМУ,1,2,3, -,2, -, -,73,95,100,87,51,2,3,1,4,2,1,3,2,1,1,6,З.О.,З.О.,З.О.,2,2,17,1,1,-,-,4,4,-,-,-,6,1,английский,-,-,1
91,интересный, увлекательный, новый,Экономический факультет,6,3,  -,никакой,1,подруга,4,4,1,3,6, -,МГИМО,МЭО,1, -, -, -,1, -, -,83,98,75,83,55,2,5,3,3,3,3,2,1,1,5,8,З.О.,журналистика,З.О.,2,2,16,2,1,-,-,4,4,-,-,-,6,3,английский,французский,турецкий,
92,увлекательный, классный, замечательный,Экономический факультет,6,3,  -,Государственное и муниципальное управление,2,  -,  -,2,1,3,4, -,МГУ,Экономический,1,2,3, -,1, -, -,100,79,78,65,65,2,3,2,2,2,3,2,2,2,3,3,З.О.,З.О.,З.О.,1,3,16,2,2,Селятино,-,4,4,-,-,-,5,1,английский,-,-,
93,престижный, интересный, современный,Экономический факультет,7,2,  -,физический,2,  -,  -,1,1,5,6, -,МТИ,АВТИ,1,2,3, -,7, -, -,77,100,56,89,65,2,2,3,1,1,2,3,1,4,3,8,"ОАО""Газпром""",директор,З.О.,2,2,17,2,1,-,-,4,4,-,-,-,4,2,английский,немецкий,-,4
94,знаменательный,престижный,легендарный,Экономический факультет,7,2,  -,никакие,2,  -,  -,2,1,2,5, -,МЭИ,ИПЭЭФ,1,2,3, -,1, -, -,76,92,95,92,56,2,1,4,2,2,1,2,1,1,3,8,З.О.,экономист,З.О.,2,2,18,2,1,-,-,4,4,-,-,-,5,2,английский,немецкий,-,3
95,Популярный, интересный, значимый,Факультет государственного управления,7,6,  -,геологический,2,  -,  -,2,1,4,5, -,МГТУ им. Баумана, -,1,2,3, -,1, -, -,66,87,65,89,65,2,2,3,2,1,3,5,1,1,3,4,З.О.,З.О.,З.О.,1,3,17,2,1,-,-,4,4,-,-,-,4,2,французский,английский,-,3
96,восхитительный, прекрасный, мафусаиловский,Факультет психологии,5,5,  -,Государственное и муниципальное управление,1,родители,1,2,1,4,5, -,МГУ,юридический,1,2,3, -,4,МГУ, -,66,89,98,55,63,4,1,4,2,2,2,4,2,2,3,7,З.О.,З.О.,З.О.,3,2,16,1,2,Селятино,-,4,4,-,-,-,4,1,английский,-,-,2
97,интересный, старый, зарубежный,Филологический факультет,4,3,  -,никакие,1,подруга,1,1,3,4,6, -,МГЮА,юридический,1,2,3, -,1, -, -,40,79,72,66,69,1,3,2,1,1,5,2,1,2,4,7,банк,адвокат,"защищать, отстаивать права",1,3,17,2,1,-,-,4,4,-,-,-,5,1,английский,-,-,2
98,Престижный, умный, красивый,Экономический факультет,3,3,  -,Мехмат,1,"родители, брат",2,2,1,3,5, -,МГУ,государственный аудит,1,2,3, -,1, -, -,87,92,93,56,55,3,1,2,1,1,4,2,1,1,3,9,газпром,финансовый аналитик,З.О.,2,2,17,2,1,-,-,4,4,-,-,-,4,1,английский,-,-,3
99,Полезный, интересный, нужный,Юридический факультет,8,3,  -,психология,1,знакомые,1,2,1,3,7,желание учиться в МГУ,МГУ,социологический,1,2,6, -,7, -, -,60,89,72,45,58,4,2,4,4,4,1,4,2,4,5,9,З.О.,З.О.,З.О.,2,2,19,2,1,-,-,4,4,-,-,-,4,2,английский,испанский,-,3
100,Передовой, престижный,,Экономический факультет,9,4,  -,затрудняюсь ответить,2,  -,  -,2,1,2,5, -,РУДН,юридический,2,4,5, -,1, -, -,52,65,61,57,58,2,2,3,1,1,1,2,1,1,3,5,З.О.,З.О.,З.О.,1,2,17,2,1,-,-,7,7,-,-,-,6,1,английский,-,-,2
101,интересный, познавательный, престижный,Исторический факультет,6,3,  -,экономический,2,  -,  -,2,1,5,  -,личное решение,ВШЭ,экономический,1,2,6, -,1, -, -,72,86,92,98,89,5,2,5,2,1,2,2,1,5,5,8,З.О.,З.О.,З.О.,2,3,17,2,,"Московская область, Солнечногорский район",-,4,4,-,-,-,7,2,английский,японский,-,3
102,Интересный, занимательный, сложный,Факультет биоинженерии и биоинформатики,7,3,  -,филологический,2,  -,  -,2,1,6,  -,собственное мнение,МГГУ, -,1,2,3, -,2, -, -,66,98,90,87,100,4,4,2,3,3,1,1,3,1,2,5,З.О.,юридическая нправленнность,З.О.,2,1,18,2,2,-,-,4,4,-,-,-,3,2,английский,татарский,-,3
103,престижный, профессиональный, любимый,Юридический факультет,4,1,  -,никакие,2,  -,  -,2,1,2,  -,интересы,МПГУ,филологический,1,2,5, -,1,МГУ, -,48,79,70,65,84,3,2,4,2,2,2,2,2,3,5,5,З.О.,З.О.,З.О.,2,2,16,2,1,-,-,4,4,-,-,-,5,1,английский,-,-,1
104,классный, перспективный, престижный,Экономический факультет,10,3,  -,факультет мировой политики,2,  -,  -,2,1,3,4, -,нет других, -,1,2,3, -,1, -, -,87,76,80,98,65,2,2,4,2,2,1,3,1,1,3,3,З.О.,З.О.,З.О.,1,2,17,1,2,-,-,4,4,-,-,-,6,2,английский,французский,-,2
105,Престижный,,,Факультет государственного управления,10,6,  -,никакие,2,  -,  -,1,1,3,5, -,МГУ,юридический,1,2,5, -,1, -, -,62,82,86,69,85,2,3,1,4,2,3,2,5,3,2,6,З.О.,З.О.,З.О.,1,2,18,2,1,-,-,4,4,-,-,-,6,1,английский,-,-,2
106,Непонятный,Неизвестный,задрипанный,Исторический факультет,6,2,  -,жур фак,2,  -,  -,2,1,2,4, -,МГИМО,журфак,1,2,4, -,1, -, -,28,95,68,83,65,1,3,2,2,2,3,3,2,1,4,8,З.О.,З.О.,З.О.,3,2,18,2,1,-,-,2,4,-,-,-,5,1,английский,-,-,3
107,Престижный, консервативный, новый,Экономический факультет,4,1,  -,вмк,2,  -,  -,2,2,4,6, -,РГГУ,экономический,1,2,3, -,1, -, -,87,76,80,98,55,1,1,1,1,5,2,2,2,3,5,5,З.О.,З.О.,З.О.,2,2,17,1,1,-,-,4,4,-,-,-,6,1,английский,-,-,3
108,престижный, известный, клевый,Юридический факультет,9,5,  -,юридический,2,  -,  -,2,1,3,4, -,МГУ,юридический,1,2,5, -,1,МГУ, -,48,79,70,65,84,3,1,4,1,1,3,2,1,1,5,10,З.О.,З.О.,З.О.,1,2,18,1,1,-,-,4,4,-,-,-,5,1,английский,-,-,1
109,лучший, хороший, катирущийся,Факультет государственного управления,10,2,  -,экономический,2,  -,  -,1,1,2,  -,результаты ЕГЭ,МГИМО,мофп,1,2,3, -,2,МГУ, -,66,98,90,87,100,5,2,3,1,3,2,3,2,4,2,8,З.О.,З.О.,З.О.,2,3,17,1,1,-,-,2,2,-,-,-,3,1,английский,-,-,4
110,передовой, атмосферный, перспективный,Механико–математический факультет,3,3,  -,факультет международных отношений,2,  -,  -,1,1,4,  -,желание,МГЛУ,лингвистика,1,2,6, -,1, -, -,70,86,92,98,89,4,3,3,4,3,4,1,4,3,3,10,"ЦРУ, ФБР",З.О.,З.О.,1,1,18,1,1,-,-,7,7,-,-,-,5,3,английский,немецкий,испанский,2
111,престижный, востребованный, универсальный,Юридический факультет,8,3,  -, -,2,  -,  -,2,2,6,  -, -,МИФИ,Международные отношения,2, -, -, -,1, -, -,63,79,73,68,86,2,2,4,2,1,5,5,1,4,5,5,,,,2,3,18,2,2,Электросталь,-,4,3,-,-,-,3,1,Английский,-,-,3
112,Надежный, высококвалифицированный, хороший,Юридический факультет,9,4,  -, -,2,  -,  -,1,4,  -,  -, -,РГГУ,Филологический,2, -, -, -,1, -, -,63,100,66,40,66,3,2,3,2,2,2,3,1,1,3,5,,,Преподавание в вузе,1,3,18,2,2,Красноярск,-,4,4,-,-,-,5,1,Английский,-,-,3
113,Интересный, познавательный, востребованный.,Исторический факультет,7,2,  -,"Философский, политологический",2,  -,  -,1,4,  -,  -, -,РГТЭУ,ФСТ,2, -, -, -,1, -, -, -,100,98, -,87,1,3,2,2,2,4,2,3,2,2,8,"Политическая партия ""Единая Россия""",Лоббизм,Навязывать свое мнение,1,3,18,2,1,-,-,4,4,-,-,-,4,2,Английский,Немецкий,-,3
